,RSXFS
1992-01-31,
1992-02-29,0.11585532829188061
1992-03-31,-0.32542220726028415
1992-04-30,1.0828877005347515
1992-05-31,0.40373384194516415
1992-06-30,0.7168657575274295
1992-07-31,1.0118879626634047
1992-08-31,-0.4586249429274325
1992-09-30,1.2747312932155808
1992-10-31,0.9558445772381852
1992-11-30,-0.14396100330775763
1992-12-31,0.9702878677136262
1993-01-31,1.1628524751291724
1993-02-28,-0.38535013031004706
1993-03-31,-0.8020192168285645
1993-04-30,2.786912473011127
1993-05-31,0.5280506721820011
1993-06-30,-0.1182998257649337
1993-07-31,1.8757281803376769
1993-08-31,-0.5320123588619219
1993-09-30,0.7050976655550212
1993-10-31,0.7809001166934726
1993-11-30,1.3963560801887764
1993-12-31,0.7740549616058967
1994-01-31,-0.5445368680248475
1994-02-28,1.666574284500122
1994-03-31,1.9718309859154903
1994-04-30,-0.04039683954137896
1994-05-31,-0.5051645647858649
1994-06-30,1.1498578357584943
1994-07-31,0.10452529571209901
1994-08-31,1.6623995658175739
1994-09-30,0.9783441264535897
1994-10-31,0.7418772770632964
1994-11-30,0.2578304593603198
1994-12-31,0.23156445400287495
1995-01-31,0.5494755006584695
1995-02-28,-1.454249841929367
1995-03-31,1.0403299725022963
1995-04-30,-0.013040322946433758
1995-05-31,1.5123077010314567
1995-06-30,1.3194056529996612
1995-07-31,-0.7514527351115352
1995-08-31,0.9821185541526223
1995-09-30,0.15787707591852218
1995-10-31,-0.364137658314756
1995-11-30,1.60739977178892
1995-12-31,0.2788522571300023
1996-01-31,-0.11090613013347017
1996-02-29,1.5923221906886997
1996-03-31,0.352390497718269
1996-04-30,0.8186488309949613
1996-05-31,0.9305609712400909
1996-06-30,-0.8269640395940359
1996-07-31,0.6069698883975683
1996-08-31,0.013604516699539104
1996-09-30,1.1321603649699918
1996-10-31,1.095171828683461
1996-11-30,-0.2865622761232256
1996-12-31,0.23504054192753365
1997-01-31,1.0900173051126893
1997-02-28,0.7313354976272057
1997-03-31,0.7345732084408141
1997-04-30,-1.5672416546877455
1997-05-31,-0.1394438472303916
1997-06-30,1.2054616450946298
1997-07-31,1.2242174290430619
1997-08-31,0.06988812942687606
1997-09-30,0.5448457591187283
1997-10-31,0.031035705840620764
1997-11-30,-0.13641624190490198
1997-12-31,0.5222460030180898
1998-01-31,0.32771282936856494
1998-02-28,-0.14571770861347977
1998-03-31,0.5406278922857721
1998-04-30,1.6423864283940048
1998-05-31,0.23097233603119882
1998-06-30,0.9834341309492567
1998-07-31,-0.7404531724915064
1998-08-31,-0.916254089994184
1998-09-30,1.1432725032131996
1998-10-31,1.7523987206823133
1998-11-30,0.6548359635911272
1998-12-31,1.0232627303735198
1999-01-31,0.24563469429059737
1999-02-28,1.302711879961449
1999-03-31,0.6477358687134505
1999-04-30,0.7371770350001583
1999-05-31,0.7773513762246553
1999-06-30,0.3976469232235491
1999-07-31,0.8610259897383399
1999-08-31,1.084824711939203
1999-09-30,0.43741500723251114
1999-10-31,-0.2837283107385513
1999-11-30,1.3712195248514636
1999-12-31,2.202836728164659
2000-01-31,-0.8547971734929383
2000-02-29,1.683919828576963
2000-03-31,1.2387130963273263
2000-04-30,-2.0369438889638602
2000-05-31,0.832387122628897
2000-06-30,0.6955196939713248
2000-07-31,-0.9238321561017337
2000-08-31,0.5556500773926443
2000-09-30,1.3214041053491776
2000-10-31,-0.049283154121859685
2000-11-30,-0.6328469146166027
2000-12-31,-0.0008201897919168921
2001-01-31,1.4332934171027434
2001-02-28,-0.020215170272375182
2001-03-31,-1.1221687984503959
2001-04-30,1.8808738967911909
2001-05-31,0.456419375945849
2001-06-30,-0.5650349650349606
2001-07-31,-0.6028066678454902
2001-08-31,0.9113109292622212
2001-09-30,-2.5882447213430027
2001-10-31,8.115822810841934
2001-11-30,-3.339394815530583
2001-12-31,-1.6549644999291568
2002-01-31,0.28974023427339457
2002-02-28,0.6687868860308921
2002-03-31,-0.2921368802001001
2002-04-30,1.1930413211312718
2002-05-31,-0.8458295847852848
2002-06-30,0.5000198106105636
2002-07-31,1.4535663034393576
2002-08-31,0.6648817318789524
2002-09-30,-1.918162516888633
2002-10-31,0.8068293182095454
2002-11-30,0.08550312144957051
2002-12-31,1.1141018139262826
2003-01-31,0.844116262740835
2003-02-28,-1.4778457041860205
2003-03-31,1.1784988991616618
2003-04-30,0.31047795951888446
2003-05-31,0.006504065040657814
2003-06-30,1.5069321172797912
2003-07-31,0.8864399561302694
2003-08-31,1.094204712290292
2003-09-30,-0.1478131051098952
2003-10-31,-0.4263319171613378
2003-11-30,0.40920240838475674
2003-12-31,0.5141378659391904
2004-01-31,0.3369545203461666
2004-02-29,0.6955021745912227
