,ICSA
1967-01-07,12.245293358683455
1967-01-14,12.240474072247506
1967-01-21,12.287652632522597
1967-01-28,12.225875272826354
1967-02-04,12.283033686666302
1967-02-11,12.341477282536376
1967-02-18,12.341477282536376
1967-02-25,12.396693005138824
1967-03-04,12.644327576461329
1967-03-11,12.392552212472792
1967-03-18,12.409013489526863
1967-03-25,12.417143615610113
1967-04-01,12.464583340681674
1967-04-08,12.456831363877356
1967-04-15,12.608198852372823
1967-04-22,12.409013489526863
1967-04-29,12.449018824140563
1967-05-06,12.445089546000673
1967-05-13,12.35017298950393
1967-05-20,12.345834587905333
1967-05-27,12.337100907936577
1967-06-03,12.421184025147118
1967-06-10,12.380025952653611
1967-06-17,12.319401330837177
1967-06-24,12.292250341771226
1967-07-01,12.250089530946948
1967-07-08,12.388394202324129
1967-07-15,12.392552212472792
1967-07-22,12.388394202324129
1967-07-29,12.250089530946948
1967-08-05,12.30591798049989
1967-08-12,12.216022976383341
1967-08-19,12.2783933071098
1967-08-26,12.269047444691562
1967-09-02,12.292250341771226
1967-09-09,12.35017298950393
1967-09-16,12.301382825334498
1967-09-23,12.250089530946948
1967-09-30,12.225875272826354
1967-10-07,12.35017298950393
1967-10-14,12.235631447771718
1967-10-21,12.314927050442256
1967-10-28,12.240474072247506
1967-11-04,12.310432660854417
1967-11-11,12.273731294003989
1967-11-18,12.196022309676673
1967-11-25,12.160028707028767
1967-12-02,12.185869938212655
1967-12-09,12.30591798049989
1967-12-16,12.225875272826354
1967-12-23,12.296827008798639
1967-12-30,12.283033686666302
1968-01-06,12.310432660854417
1968-01-13,12.310432660854417
1968-01-20,12.30591798049989
1968-01-27,12.196022309676673
1968-02-03,12.404923504275338
1968-02-10,12.254862809699606
1968-02-17,12.185869938212655
1968-02-24,12.170445467887022
1968-03-02,12.154779351142624
1968-03-09,12.225875272826354
1968-03-16,12.154779351142624
1968-03-23,12.206072645530174
1968-03-30,12.165250651009918
1968-04-06,12.160028707028767
1968-04-13,12.049418835484797
1968-04-20,12.117241431823558
1968-04-27,12.43320821811392
1968-05-04,12.250089530946948
1968-05-11,12.175613438045465
1968-05-18,12.201060103706629
1968-05-25,12.175613438045465
1968-06-01,12.201060103706629
1968-06-08,12.165250651009918
1968-06-15,12.175613438045465
1968-06-22,12.14950229404178
1968-06-29,12.175613438045465
1968-07-06,12.273731294003989
1968-07-13,12.133501952695338
1968-07-20,12.100712129872347
1968-07-27,12.230765258120545
1968-08-03,12.235631447771718
1968-08-10,12.292250341771226
1968-08-17,12.165250651009918
1968-08-24,12.170445467887022
1968-08-31,12.144197241812087
1968-09-07,12.14950229404178
1968-09-14,12.180754837545884
1968-09-21,12.160028707028767
1968-09-28,12.14950229404178
1968-10-05,12.128111104060462
1968-10-12,12.133501952695338
1968-10-19,12.160028707028767
1968-10-26,12.111761966058932
1968-11-02,12.106252310247962
1968-11-09,12.117241431823558
1968-11-16,12.165250651009918
1968-11-23,12.201060103706629
1968-11-30,11.99535161421452
1968-12-07,12.144197241812087
1968-12-14,12.180754837545884
1968-12-21,12.165250651009918
1968-12-28,12.314927050442256
1969-01-04,12.154779351142624
1969-01-11,12.160028707028767
1969-01-18,12.165250651009918
1969-01-25,12.170445467887022
1969-02-01,12.220961258023925
1969-02-08,12.190959007720126
1969-02-15,12.165250651009918
1969-02-22,12.165250651009918
1969-03-01,12.211060187041213
1969-03-08,12.160028707028767
1969-03-15,12.14950229404178
1969-03-22,12.106252310247962
1969-03-29,12.117241431823558
1969-04-05,12.111761966058932
1969-04-12,12.154779351142624
1969-04-19,12.138863895836725
1969-04-26,12.083905011555967
1969-05-03,12.083905011555967
1969-05-10,12.117241431823558
1969-05-17,12.095141084822892
1969-05-24,12.100712129872347
1969-05-31,12.138863895836725
1969-06-07,12.165250651009918
